Year,Region,Technology,Hour,Fuel,value
2040,UK,Battery,60,Power,396.6586354285185
2050,UK,Battery,73,Power,9.158262035462812
2040,DE,PHS,54,Power,-0.0
2040,UK,PHS,46,Power,69.21479306129567
2030,DE,H2Tank,2,H2,37.155642163213344
2020,DK,Battery,67,Power,43.04873987354538
2050,FR,H2Tank,119,H2,117.1326754385965
2020,NO,PHS,102,Power,-0.0
2030,DE,PHS,58,Power,-0.0
2020,FR,H2Tank,99,H2,32.40438895822243
2040,DE,PHS,59,Power,-0.0
2030,NO,PHS,114,Power,-0.0
2040,FR,PHS,13,Power,242.6810741347278
2040,DE,Battery,1,Power,77.20327507246587
2020,NO,H2Tank,107,H2,0.17870754374999803
2020,NO,H2Tank,92,H2,0.17870754374999803
2030,DK,H2Tank,109,H2,0.0
2050,DK,Battery,11,Power,63.149854743299706
2050,DK,Battery,66,Power,73.66276471029155
2040,FR,H2Tank,109,H2,94.70972802833322
2050,UK,Battery,49,Power,367.988628777713
2050,DK,Battery,119,Power,44.8656633770896
2030,NO,Battery,82,Power,-0.0
2050,UK,H2Tank,54,H2,25.39175440476354
2020,NO,Battery,40,Power,-0.0
2020,FR,PHS,94,Power,-0.0
2050,NO,PHS,112,Power,399.37244191599973
2020,DE,PHS,44,Power,-0.0
2020,UK,Battery,115,Power,4.841326807590882
2030,UK,H2Tank,62,H2,12.0
2040,DE,Battery,67,Power,58.53036196162543
2020,FR,Battery,82,Power,49.9900005
2040,NO,H2Tank,44,H2,26.761482161934907
2050,DE,H2Tank,62,H2,168.79862901785145
2050,NO,PHS,76,Power,249.27918918736717
2030,NO,H2Tank,18,H2,-0.0
2020,UK,H2Tank,22,H2,-0.0
2040,FR,Battery,93,Power,353.29967766299285
2020,DE,H2Tank,38,H2,20.95308039964912
2020,DK,Battery,73,Power,14.095797508306745
2050,DE,Battery,48,Power,0.0
2050,DK,Battery,18,Power,-0.0
2020,DK,H2Tank,57,H2,0.0
2050,DK,PHS,57,Power,123.83400648475063
2030,UK,PHS,86,Power,-0.0
2050,FR,PHS,55,Power,435.7558270146866
2050,NO,PHS,111,Power,393.0154573733732
2030,DK,Battery,32,Power,19.85755250932481
2030,UK,H2Tank,65,H2,2.526315789473683
2040,NO,H2Tank,87,H2,62.33486729182499
2020,NO,PHS,41,Power,-0.0
2030,UK,PHS,55,Power,-0.0
2030,FR,H2Tank,47,H2,6.140350877192981
2050,UK,PHS,66,Power,132.08204320204766
2030,FR,PHS,109,Power,-0.0
2020,UK,H2Tank,67,H2,0.2137274940967444
2030,DK,PHS,37,Power,0.0
2050,DK,H2Tank,71,H2,7.5
2040,UK,H2Tank,7,H2,1.69485389972407
2050,FR,PHS,29,Power,257.1921298920303
2040,FR,PHS,74,Power,257.22795002886176
2020,UK,PHS,93,Power,-0.0
2030,FR,PHS,90,Power,-0.0
2030,FR,H2Tank,8,H2,11.937087269347261
2030,UK,Battery,114,Power,43.15854557201575
2040,NO,PHS,1,Power,-0.0
2050,FR,H2Tank,53,H2,76.2837495794482
2040,DE,Battery,60,Power,140.41892802233914
2040,FR,H2Tank,40,H2,52.91900063211126
2050,DK,PHS,111,Power,94.85932091038337
2050,FR,PHS,106,Power,523.2774866440664
2020,NO,H2Tank,84,H2,0.232988267176315
2030,DK,PHS,107,Power,0.0
2040,DE,PHS,65,Power,-0.0
2040,NO,PHS,98,Power,-0.0
2050,FR,H2Tank,41,H2,102.62910166842106
2040,NO,H2Tank,93,H2,43.03541018077236
2050,DE,H2Tank,80,H2,168.79862901785145
2020,DE,H2Tank,70,H2,0.0
2040,DK,H2Tank,65,H2,15.0
2050,DK,Battery,74,Power,14.7250967166738
2030,DE,Battery,79,Power,22.115452398001683
2040,DK,PHS,8,Power,0.0
2030,DE,PHS,21,Power,-0.0
2020,DE,PHS,69,Power,-0.0
2030,FR,H2Tank,104,H2,50.0
2040,FR,PHS,4,Power,289.0786175264692
2030,NO,PHS,78,Power,-0.0
2030,FR,H2Tank,112,H2,34.08897449736842
2040,DK,Battery,45,Power,28.766261266852183
2040,UK,H2Tank,11,H2,22.875
2030,DE,H2Tank,108,H2,18.199938396731433
2030,UK,H2Tank,104,H2,12.0
2030,DK,Battery,92,Power,15.383104857029542
2030,UK,PHS,60,Power,-0.0
2020,DK,Battery,109,Power,3.5162287828674943
2040,FR,Battery,106,Power,375.8853132144444
2050,NO,H2Tank,49,H2,8.42598847712517
2020,DK,H2Tank,16,H2,0.0
2020,NO,H2Tank,4,H2,0.4418258665263152
2030,FR,H2Tank,21,H2,11.279589473859648
2040,FR,H2Tank,68,H2,66.87047563333333
2030,UK,Battery,3,Power,43.11971841445258
2050,DE,PHS,61,Power,515.9774443052866
2030,DE,H2Tank,90,H2,-0.0
2050,FR,H2Tank,44,H2,72.03873466473685
2050,UK,PHS,28,Power,99.97682878559773
2020,NO,H2Tank,58,H2,-0.0
2020,DE,H2Tank,53,H2,38.62079994245737
2040,NO,H2Tank,54,H2,76.42198070484633
2040,FR,PHS,27,Power,164.29478695654706
2050,UK,H2Tank,105,H2,15.0
2050,DE,PHS,51,Power,448.8406284156299
2050,DK,PHS,63,Power,125.15227961548777
2020,FR,H2Tank,88,H2,40.0
2050,NO,Battery,86,Power,-0.0
2040,FR,H2Tank,11,H2,76.25
2020,FR,PHS,42,Power,-0.0
2020,DK,H2Tank,90,H2,0.0
2050,DE,Battery,94,Power,0.7362404740657502
2030,FR,PHS,81,Power,-0.0
2030,FR,PHS,17,Power,-0.0
2050,UK,Battery,65,Power,193.97333940173547
2020,UK,PHS,7,Power,-0.0
2030,DE,PHS,19,Power,-0.0
2050,DE,H2Tank,8,H2,84.39931450892573
2020,UK,PHS,62,Power,-0.0
2020,NO,Battery,111,Power,-0.0
2030,DE,Battery,101,Power,33.405381873798326
2040,DK,H2Tank,81,H2,15.0
2050,FR,Battery,51,Power,-0.0
2020,DE,Battery,21,Power,-0.0
2020,FR,Battery,87,Power,49.96501049825018
2020,UK,Battery,99,Power,5.198632475151674
2020,UK,H2Tank,103,H2,9.244948479163412
2050,NO,Battery,46,Power,-0.0
2040,UK,Battery,47,Power,218.27618534165438
2040,NO,PHS,92,Power,-0.0
2030,FR,PHS,9,Power,-0.0
2050,FR,Battery,47,Power,100.15317374089167
2040,FR,PHS,83,Power,282.8178507489497
2050,DE,Battery,59,Power,154.42199234416617
2030,DE,PHS,47,Power,-0.0
2030,NO,H2Tank,83,H2,29.55302411880396
2020,DK,Battery,49,Power,-0.0
2050,FR,PHS,11,Power,387.2218816798521
2050,DE,H2Tank,23,H2,24.154741175520336
2030,DE,H2Tank,37,H2,66.37322307122808
2050,DE,H2Tank,51,H2,66.39010526687224
2030,FR,H2Tank,111,H2,37.15914993596491
2050,NO,Battery,53,Power,-0.0
2040,FR,Battery,55,Power,203.74373106078713
2050,NO,Battery,23,Power,-0.0
2030,FR,H2Tank,92,H2,14.93298005991263
2040,DK,PHS,49,Power,0.0
2040,FR,H2Tank,76,H2,40.44309990636375
2050,NO,H2Tank,69,H2,8.42598847712517
2020,DE,PHS,50,Power,-0.0
2050,DE,PHS,9,Power,606.6920743334773
2050,DK,PHS,86,Power,104.87937164904466
2030,UK,H2Tank,35,H2,10.251096875375003
2020,NO,PHS,90,Power,-0.0
2050,DE,H2Tank,24,H2,11.082026470257182
2040,DK,H2Tank,41,H2,14.334679396432588
2050,DK,Battery,89,Power,25.193813443090797
2020,FR,Battery,23,Power,2.0467256740802853
2020,NO,PHS,13,Power,-0.0
2020,DK,PHS,45,Power,0.0
2020,NO,Battery,72,Power,-0.0
2030,UK,PHS,106,Power,-0.0
2050,DK,PHS,82,Power,113.16272441308432
2040,NO,PHS,31,Power,-0.0
2050,DE,Battery,10,Power,147.2420521723834
2050,FR,PHS,51,Power,407.4280663484873
2030,DK,PHS,52,Power,0.0
2020,DE,PHS,45,Power,-0.0
2040,UK,PHS,56,Power,78.99430395264449
2050,DE,H2Tank,60,H2,168.79862901785145
2030,NO,PHS,11,Power,-0.0
2050,FR,Battery,92,Power,25.93320598320357
2040,NO,PHS,80,Power,-0.0
2020,DE,H2Tank,56,H2,44.29492300170737
2040,DE,Battery,80,Power,109.96594572089225
2040,NO,H2Tank,114,H2,26.399191524625
2020,DE,H2Tank,35,H2,36.01608537600528
2040,FR,Battery,3,Power,134.55222590648617
2020,DK,H2Tank,61,H2,0.0
2030,UK,PHS,88,Power,-0.0
2030,NO,Battery,37,Power,-0.0
2020,NO,H2Tank,101,H2,0.17870754374999803
2040,NO,Battery,106,Power,-0.0
2040,NO,PHS,4,Power,-0.0
2030,UK,PHS,36,Power,-0.0
2020,DK,Battery,44,Power,3.261691617680212
2020,NO,PHS,3,Power,-0.0
2030,UK,PHS,81,Power,-0.0
2020,NO,PHS,95,Power,-0.0
2040,NO,Battery,12,Power,-0.0
2040,FR,PHS,111,Power,312.44817844722604
2030,NO,PHS,84,Power,-0.0
2020,FR,PHS,96,Power,-0.0
2030,FR,PHS,49,Power,-0.0
2040,DE,H2Tank,72,H2,4.925939024912277
2020,FR,Battery,70,Power,22.3143518227121
2040,DK,H2Tank,55,H2,15.0
2050,UK,H2Tank,63,H2,25.39175440476354
2040,NO,PHS,72,Power,-0.0
2040,UK,PHS,25,Power,52.962871159232684
