Year,Region,Technology,Hour,Fuel,value
2030,UK,Battery,30,Power,21.73257984011771
2020,DE,H2Tank,82,H2,48.473725631734524
2030,DE,H2Tank,106,H2,18.956543958404012
2050,DE,Battery,77,Power,765.6448538510177
2050,UK,Battery,19,Power,27.030068083760696
2030,DE,Battery,76,Power,24.25382200112117
2050,FR,Battery,116,Power,600.2400600120019
2020,FR,H2Tank,119,H2,20.0
2050,NO,H2Tank,80,H2,88.43994628039474
2040,UK,Battery,90,Power,84.42538145026383
2020,DK,Battery,119,Power,7.14590977346586
2040,UK,H2Tank,98,H2,0.6041311258544948
2020,UK,H2Tank,54,H2,7.207148482694411
2050,DE,Battery,39,Power,147.7834643316812
2030,UK,H2Tank,53,H2,9.15
2030,DE,Battery,71,Power,17.10989066280443
2030,FR,Battery,104,Power,75.120102061229
2050,UK,H2Tank,57,H2,130.0
2020,DE,H2Tank,62,H2,43.06807077245614
2030,DK,Battery,14,Power,11.556943499809387
2040,FR,Battery,113,Power,164.1136866869241
2040,DE,H2Tank,66,H2,30.49557620540714
2050,FR,Battery,54,Power,466.9290011685065
2050,UK,PHS,27,Power,92.17323038926642
2030,UK,Battery,112,Power,74.97338278668128
2040,UK,H2Tank,83,H2,22.468735393704552
2040,DE,Battery,20,Power,20.852233661043357
2030,FR,H2Tank,54,H2,45.31232863385
2050,NO,H2Tank,62,H2,104.8809767715985
2050,NO,PHS,66,Power,248.83553267229019
2050,UK,H2Tank,1,H2,65.0
2030,FR,H2Tank,30,H2,31.740533522416676
2040,NO,H2Tank,51,H2,0.10207006181666785
2030,DK,Battery,104,Power,38.51959482202006
2030,DE,Battery,107,Power,33.82873928108821
2020,FR,H2Tank,53,H2,19.0
2040,FR,H2Tank,78,H2,95.0
2030,DE,H2Tank,100,H2,5.527091085324941
2050,DE,H2Tank,84,H2,175.0
2050,FR,Battery,77,Power,751.9430368151072
2050,NO,Battery,91,Power,101.05361895699455
2040,FR,H2Tank,59,H2,100.0
2020,FR,H2Tank,41,H2,6.753351600875497
2030,FR,H2Tank,46,H2,12.189891510568874
2020,DE,H2Tank,80,H2,48.473725631734524
2040,UK,Battery,100,Power,84.34099405010595
2040,DK,H2Tank,67,H2,5.482456140350877
2050,DE,PHS,29,Power,308.6305558704369
2040,DK,H2Tank,31,H2,12.981587180722283
2030,DE,H2Tank,69,H2,18.866039487914946
2040,DK,H2Tank,102,H2,4.02292051026401
2030,DK,Battery,5,Power,34.1433450806523
2050,DK,H2Tank,38,H2,33.1469298245614
2050,UK,PHS,44,Power,114.32053982913742
2020,FR,H2Tank,44,H2,3.1328976517543805
2030,NO,H2Tank,40,H2,7.536439975731853
2030,FR,H2Tank,115,H2,25.0
2030,UK,Battery,61,Power,113.88831801276393
2040,NO,H2Tank,77,H2,7.519242916562499
2040,DK,Battery,53,Power,1.0481600712520835
2050,FR,Battery,60,Power,969.5393927279971
2050,UK,H2Tank,50,H2,16.489124288249986
2020,UK,H2Tank,105,H2,10.0
2050,DE,PHS,84,Power,506.37283298209434
2040,DE,H2Tank,65,H2,46.76640881137205
2050,DK,PHS,92,Power,84.53610459488289
2050,DK,H2Tank,98,H2,16.78375019975723
2030,UK,H2Tank,114,H2,1.8806040164267515
2050,UK,Battery,108,Power,665.4064808107248
2040,UK,Battery,5,Power,75.18917129065844
2050,DE,PHS,7,Power,513.7062853148582
2020,DE,H2Tank,8,H2,19.473684210526315
2050,UK,PHS,52,Power,122.40017309166534
2040,UK,H2Tank,119,H2,15.0
2050,NO,Battery,45,Power,2.4600550938434247
2040,DK,Battery,91,Power,44.853099486002776
2030,DK,Battery,77,Power,17.252302433398118
2030,FR,H2Tank,5,H2,18.791279640122955
2040,DE,Battery,22,Power,20.848063422833484
2040,FR,H2Tank,9,H2,7.856796138521304
2050,DE,PHS,97,Power,499.8293387730752
2050,DK,PHS,3,Power,93.8238273509804
2030,NO,H2Tank,34,H2,12.719011832047642
2050,DK,H2Tank,105,H2,27.630130974548887
2050,UK,Battery,70,Power,491.40907197493283
2020,DE,H2Tank,51,H2,20.465590779168828
2030,UK,H2Tank,109,H2,5.038498753268857
2030,UK,Battery,38,Power,42.06210868232874
2050,DE,PHS,27,Power,291.2217080648586
2040,FR,H2Tank,6,H2,21.452794754736846
2040,DE,Battery,119,Power,117.06230621174255
2020,FR,Battery,92,Power,28.7713807143557
2020,DE,H2Tank,60,H2,53.594386561929824
2050,FR,H2Tank,100,H2,150.39681215705716
2050,UK,PHS,17,Power,130.49107378387993
2050,DE,H2Tank,92,H2,109.41282097001385
2040,DK,H2Tank,100,H2,4.02292051026401
2030,FR,H2Tank,13,H2,18.32816893482144
2050,UK,PHS,119,Power,197.1971971971972
2050,UK,PHS,95,Power,163.98715095718097
2040,FR,H2Tank,113,H2,50.0
2040,FR,H2Tank,89,H2,16.59953667202263
2030,UK,H2Tank,40,H2,11.349850053071926
2040,UK,Battery,9,Power,64.40601946315819
2050,NO,PHS,67,Power,248.58669713961785
2050,DK,PHS,96,Power,84.19846705507103
2050,NO,H2Tank,1,H2,75.0
2050,DK,Battery,37,Power,38.53989145242204
2040,FR,H2Tank,10,H2,7.856796138521304
2030,UK,H2Tank,117,H2,4.730604016426751
2030,DE,Battery,51,Power,13.947091678104197
2040,DK,H2Tank,18,H2,7.5
2040,NO,Battery,3,Power,181.39073312445018
2020,UK,H2Tank,63,H2,7.894736842105262
2050,DE,Battery,41,Power,86.93480913191634
2040,DK,Battery,98,Power,44.82171173394377
2030,DK,Battery,55,Power,36.25897242761121
2040,DK,H2Tank,78,H2,15.0
2050,DK,PHS,70,Power,72.80892567493709
2050,DE,H2Tank,46,H2,9.850037789736888
2050,UK,Battery,96,Power,683.3263175586172
2040,FR,Battery,84,Power,126.09382994131218
2050,FR,Battery,108,Power,783.5748796891415
2030,FR,H2Tank,37,H2,46.92982456140351
2040,DK,H2Tank,86,H2,2.8788436065470027
2050,DK,PHS,44,Power,59.56928193484126
2050,DE,H2Tank,34,H2,175.0
2050,FR,H2Tank,71,H2,58.42011092105258
2050,NO,PHS,42,Power,208.51341577255621
2030,UK,Battery,89,Power,70.6505985995093
2020,UK,H2Tank,14,H2,5.263157894736842
2050,DK,H2Tank,56,H2,40.0
2050,NO,H2Tank,120,H2,75.0
2050,NO,PHS,9,Power,366.8713045437677
2020,FR,H2Tank,36,H2,27.805983179822867
2030,FR,H2Tank,81,H2,50.0
2020,FR,H2Tank,77,H2,27.304672990533334
2040,UK,Battery,12,Power,64.38669958943544
2050,DE,Battery,63,Power,562.1941542024731
2030,UK,Battery,104,Power,75.03338849232766
2020,FR,H2Tank,107,H2,31.8379973168421
2030,UK,H2Tank,68,H2,8.123450051416466
2050,UK,Battery,82,Power,1062.0987567193743
2050,DK,Battery,51,Power,69.73249060642266
2050,FR,H2Tank,38,H2,180.00274339643346
2040,UK,H2Tank,10,H2,9.434210526315788
2030,UK,H2Tank,100,H2,3.450000000000001
2050,NO,Battery,27,Power,2.464487402512489
2050,NO,PHS,97,Power,354.83710645700125
2050,UK,Battery,58,Power,744.974805745069
2050,DE,H2Tank,19,H2,41.42467019130352
2030,DE,Battery,82,Power,33.91342117171196
2020,FR,H2Tank,67,H2,8.939811064210527
2030,NO,H2Tank,41,H2,7.536439975731853
2040,FR,H2Tank,33,H2,79.21992491845
2020,DE,H2Tank,32,H2,42.75
2030,FR,Battery,52,Power,24.457446276900008
2030,FR,H2Tank,70,H2,9.210526315789473
2050,UK,PHS,13,Power,146.73991436907505
2050,DE,PHS,31,Power,326.00460338925194
2050,DE,PHS,20,Power,355.0411404216586
2050,DK,PHS,31,Power,54.334100564875236
2030,NO,H2Tank,119,H2,17.518357531391665
2050,DE,H2Tank,5,H2,87.5
2050,FR,PHS,77,Power,397.15706467304267
2050,UK,Battery,120,Power,600.0
2050,DE,Battery,29,Power,62.07598713273589
2050,DE,H2Tank,44,H2,50.96845884236846
2050,DK,Battery,62,Power,396.13320872138235
2040,UK,H2Tank,120,H2,15.0
2050,UK,PHS,89,Power,164.97452679707837
2030,FR,Battery,103,Power,75.12761482271127
2040,FR,H2Tank,57,H2,100.0
2030,DK,Battery,59,Power,76.91601934450931
2050,FR,H2Tank,108,H2,170.76194941535087
2050,UK,PHS,74,Power,143.3606933392941
2050,DK,Battery,29,Power,1.8139934181393205
2040,DK,Battery,116,Power,86.01268904200035
2050,UK,H2Tank,43,H2,61.46929824561404
2020,NO,H2Tank,109,H2,0.3994077437499988
2030,DE,H2Tank,52,H2,49.875
2030,FR,Battery,9,Power,34.38153518817336
2050,DK,H2Tank,59,H2,40.0
2040,DK,Battery,67,Power,6.2916419030363055
2030,DE,Battery,34,Power,49.37536352240003
2050,DE,Battery,68,Power,561.9131133391656
2030,UK,Battery,81,Power,104.48108332712513
2050,NO,H2Tank,67,H2,96.69893953541428
2040,FR,H2Tank,99,H2,20.035708721174995
2050,DE,PHS,42,Power,353.00060607473347
2050,FR,PHS,44,Power,290.4728947564026
2050,DK,PHS,90,Power,84.70543075095405
2050,UK,PHS,117,Power,191.58317195794118
2050,UK,H2Tank,113,H2,36.414433778774416
2050,DE,PHS,79,Power,481.8582203628695
2040,UK,Battery,115,Power,132.58081660772226
2040,FR,Battery,82,Power,126.11905249061978
2020,DE,H2Tank,110,H2,23.608582994013577
2040,DE,H2Tank,38,H2,57.9024685775467
2030,DK,Battery,61,Power,76.9006369098006
2030,UK,H2Tank,44,H2,5.503299968510518
2040,DK,H2Tank,57,H2,15.0
2030,FR,Battery,34,Power,17.339832241161044
2050,NO,PHS,94,Power,345.0593105434441
2050,UK,H2Tank,85,H2,130.0
2050,DK,PHS,43,Power,59.628910845686946
2050,DE,PHS,11,Power,464.66625801582285
2050,FR,PHS,32,Power,271.43625739651424
2050,DE,PHS,57,Power,419.4910052832658
2020,UK,Battery,79,Power,16.43006211544136
2030,FR,H2Tank,31,H2,43.615533522416676
2030,NO,H2Tank,82,H2,40.0
2030,DE,H2Tank,78,H2,61.4729579695
2030,NO,H2Tank,78,H2,35.66019012161106
2050,FR,H2Tank,42,H2,111.47204164204749
2030,FR,Battery,112,Power,75.06002700900243
2030,UK,H2Tank,2,H2,6.0
2050,UK,Battery,86,Power,869.5408475767056
2030,FR,H2Tank,110,H2,41.39685028404844
2020,UK,H2Tank,46,H2,2.375
2040,NO,H2Tank,84,H2,0.28360793774802673
2020,FR,H2Tank,96,H2,14.706351954831579
2050,UK,Battery,36,Power,369.93796911677293
2040,DE,H2Tank,70,H2,1.2792271201879326
2050,FR,Battery,44,Power,203.7264110333434
2050,DK,H2Tank,119,H2,20.0
2020,DE,H2Tank,98,H2,23.608582994013577
2050,UK,PHS,1,Power,195.87843137254902
2030,UK,H2Tank,34,H2,12.0
2050,UK,Battery,102,Power,682.9164242533643
2050,DK,PHS,17,Power,65.24553689193996
2030,NO,H2Tank,8,H2,2.0072793333333308
2020,NO,H2Tank,106,H2,0.3994077437499988
2030,FR,H2Tank,39,H2,40.78947368421052
2040,DK,Battery,109,Power,67.3085662725603
2050,DK,PHS,51,Power,62.1520458333768
2050,DE,H2Tank,97,H2,43.46007055770879
2050,UK,H2Tank,75,H2,32.730455338375
2040,DK,H2Tank,16,H2,7.5
2040,NO,H2Tank,4,H2,47.5
2050,DK,PHS,112,Power,91.7569450579189
2050,DE,Battery,74,Power,562.2937363251276
2030,FR,Battery,109,Power,75.08254952145745
2040,DE,H2Tank,53,H2,87.28739369781933
2040,NO,H2Tank,58,H2,18.576421064473685
2050,DE,Battery,113,Power,600.4201680504123
2050,DE,PHS,107,Power,539.9117115212024
2020,FR,H2Tank,29,H2,5.386054692542083
2020,UK,H2Tank,4,H2,5.0
2040,FR,H2Tank,88,H2,30.305677022899822
2020,FR,H2Tank,16,H2,7.855991440526294
2030,FR,Battery,61,Power,79.91500043651543
2020,UK,H2Tank,77,H2,7.125
2040,DE,Battery,21,Power,20.85014843767725
2040,FR,Battery,87,Power,126.0560055750186
2040,UK,Battery,99,Power,84.34942899300525
2030,DE,H2Tank,14,H2,2.9157618346843535
2040,UK,H2Tank,103,H2,17.15580972578947
2020,FR,H2Tank,114,H2,20.0
2050,DE,H2Tank,31,H2,147.04164637172875
2050,UK,PHS,11,Power,154.88875267194078
2020,UK,Battery,97,Power,16.180823371749554
2030,DE,H2Tank,86,H2,30.867937634210534
2020,FR,H2Tank,52,H2,9.5
2050,DE,Battery,117,Power,600.1800360060007
2050,FR,Battery,90,Power,1072.249067625236
2050,UK,Battery,31,Power,143.50724611808153
2020,DK,Battery,63,Power,3.6997299954870915
2050,FR,H2Tank,1,H2,100.0
2030,UK,H2Tank,29,H2,5.699999999999999
2040,DE,H2Tank,56,H2,130.0
2050,UK,H2Tank,45,H2,61.46929824561404
2030,NO,H2Tank,75,H2,8.516365515627728
2040,DE,H2Tank,35,H2,88.95622877803207
2040,DK,H2Tank,61,H2,15.0
2030,UK,Battery,117,Power,75.02250450075009
2050,FR,PHS,25,Power,245.46956803427435
2050,DK,H2Tank,110,H2,10.526315789473683
2030,NO,H2Tank,45,H2,4.493607144152906
2050,FR,PHS,120,Power,500.0
2050,NO,H2Tank,57,H2,116.73665425705903
2050,FR,H2Tank,80,H2,181.51132963435646
2050,NO,PHS,5,Power,403.72499554635846
2050,NO,Battery,115,Power,141.52589807739082
2050,FR,H2Tank,85,H2,200.0
2030,NO,H2Tank,89,H2,17.065242577368416
2030,DK,Battery,52,Power,18.612636820740192
2040,DK,Battery,97,Power,44.82619435337911
2050,DK,H2Tank,32,H2,40.0
2050,NO,Battery,51,Power,2.4585794297461856
2050,DK,H2Tank,60,H2,40.0
2050,NO,Battery,89,Power,101.07383271279878
2030,UK,H2Tank,9,H2,0.1739958754101879
2050,DK,H2Tank,8,H2,20.0
2050,FR,PHS,45,Power,290.18242186164616
2050,UK,Battery,92,Power,689.4472975468892
2020,DE,H2Tank,59,H2,60.0
2050,DE,Battery,36,Power,224.8438186569569
2050,FR,H2Tank,94,H2,158.8535937346083
2050,NO,PHS,38,Power,209.34955874738213
2030,FR,Battery,88,Power,72.72407274302884
2050,UK,H2Tank,15,H2,65.0
2020,DK,Battery,57,Power,14.288961325940528
2050,FR,Battery,78,Power,908.9511097207456
2040,DK,Battery,16,Power,48.23429588023228
2030,DK,Battery,112,Power,38.48878992949217
2040,DK,Battery,64,Power,7.064793962621672
2050,DE,PHS,35,Power,355.48152406057113
2040,DE,H2Tank,85,H2,69.51796180947369
2050,FR,Battery,67,Power,607.5293513639625
2050,FR,PHS,116,Power,482.6240993157741
2040,FR,Battery,111,Power,164.14651434832862
2020,DE,H2Tank,106,H2,23.608582994013577
2050,DE,H2Tank,107,H2,31.989395828241364
2050,NO,H2Tank,64,H2,102.15692023376955
2050,UK,H2Tank,6,H2,65.0
2050,DK,H2Tank,40,H2,26.2938596491228
2050,DE,H2Tank,67,H2,72.2039473684211
2050,FR,H2Tank,120,H2,100.0
2050,DE,Battery,91,Power,938.2394158059533
2050,UK,PHS,29,Power,97.98597610171828
2020,UK,H2Tank,53,H2,4.832148482694411
2030,UK,Battery,59,Power,150.0
2050,NO,Battery,59,Power,12.634994097547724
2020,FR,Battery,104,Power,28.736874040281467
2040,DK,Battery,7,Power,195.72639609674357
2040,UK,H2Tank,30,H2,4.823374629874991
2050,DE,PHS,94,Power,501.3318307712284
2030,DE,H2Tank,50,H2,16.625
2040,NO,Battery,8,Power,102.64022424551429
2050,DE,H2Tank,55,H2,175.0
2020,UK,Battery,112,Power,16.15656911919641
2030,NO,H2Tank,63,H2,26.84210526315789
2030,DE,Battery,73,Power,17.106468855770775
2020,FR,H2Tank,54,H2,28.5
2040,DK,Battery,103,Power,67.3489655508929
2030,DK,Battery,102,Power,38.52729989672641
2040,UK,Battery,14,Power,63.292499156347525
2050,DK,Battery,114,Power,600.3601260336073
2050,DE,Battery,112,Power,600.4802160720194
2020,FR,H2Tank,30,H2,14.034349022834245
2050,DE,PHS,2,Power,575.2829529411765
2050,FR,H2Tank,98,H2,106.03051466320719
2050,NO,PHS,35,Power,209.97886561761698
2050,DE,PHS,75,Power,447.7003011650763
2050,UK,H2Tank,18,H2,41.51174295663247
2040,DK,Battery,95,Power,44.835160937214944
2020,DE,H2Tank,100,H2,23.608582994013577
2040,DK,H2Tank,12,H2,7.5
2050,NO,Battery,41,Power,2.461039361935681
2020,FR,H2Tank,46,H2,1.6130697998245542
2050,DK,Battery,120,Power,600.0
2050,DE,PHS,90,Power,503.3421814568324
2030,FR,H2Tank,60,H2,50.0
2030,DK,Battery,85,Power,38.59285529067132
2030,DE,Battery,35,Power,49.37042598604779
2030,UK,Battery,35,Power,74.79334374004517
2050,UK,Battery,80,Power,881.2700089777246
2020,DE,H2Tank,69,H2,21.052631578947366
2030,FR,H2Tank,65,H2,33.333333333333336
2050,NO,PHS,33,Power,210.3994541264157
2030,DE,Battery,2,Power,13.985289544733142
2050,DE,PHS,80,Power,490.3763621425066
2050,UK,Battery,78,Power,649.958482656241
2030,FR,Battery,11,Power,34.37465922495108
2020,FR,H2Tank,95,H2,18.21512388465614
2050,DE,H2Tank,4,H2,87.5
2050,DE,Battery,40,Power,103.184241053812
2020,FR,H2Tank,115,H2,20.0
2020,UK,Battery,61,Power,8.365519334350612
2050,NO,PHS,7,Power,385.27971398614363
2020,DK,Battery,31,Power,0.06710089495894864
2040,DK,Battery,8,Power,195.7068234571339
2020,UK,H2Tank,114,H2,5.0
2030,FR,Battery,1,Power,73.96472868963927
2050,DK,Battery,86,Power,605.8742206223961
2040,DK,H2Tank,44,H2,4.19366847982456
2050,DK,Battery,60,Power,398.8909635112861
2020,FR,H2Tank,5,H2,12.982456140350877
2030,DE,H2Tank,64,H2,45.18182896159915
2050,NO,H2Tank,91,H2,83.90516319717105
2050,NO,PHS,103,Power,372.1631909870544
2030,UK,H2Tank,38,H2,12.0
2030,DE,Battery,56,Power,57.175118850718725
2020,UK,H2Tank,109,H2,7.631578947368421
2020,FR,H2Tank,90,H2,18.21512388465614
2050,FR,PHS,79,Power,411.3556477007612
2050,DK,PHS,19,Power,61.19550322055572
2050,NO,Battery,97,Power,100.99300194164228
2040,FR,H2Tank,12,H2,8.346875307229634
2050,DE,H2Tank,61,H2,175.0
2050,FR,PHS,114,Power,470.8431084704318
2050,UK,Battery,103,Power,682.8481326109389
2050,NO,Battery,17,Power,3.3233045112844595
2050,FR,Battery,86,Power,1156.985060075928
2050,FR,PHS,108,Power,473.6780812531917
2030,NO,H2Tank,2,H2,15.165174070175434
2020,FR,H2Tank,13,H2,16.328625143980652
2040,DK,Battery,100,Power,67.36917428216968
2050,FR,PHS,60,Power,360.44875807870557
2050,NO,Battery,49,Power,2.459071219399353
2030,UK,Battery,95,Power,70.60821883652648
2030,UK,Battery,93,Power,70.62234259882281
2020,UK,H2Tank,40,H2,4.7368421052631575
2040,DE,H2Tank,63,H2,79.51341317944222
2050,FR,PHS,80,Power,418.4442920530604
2020,UK,H2Tank,117,H2,5.0
2030,UK,H2Tank,82,H2,12.0
2040,FR,Battery,99,Power,125.9048215375662
2040,DK,H2Tank,47,H2,2.4466942754385954
2030,UK,Battery,109,Power,74.9958793006701
2050,FR,PHS,93,Power,427.8654401534107
2050,DK,H2Tank,88,H2,29.7203947368421
2040,NO,H2Tank,16,H2,12.335526315789473
2030,DE,Battery,37,Power,20.025045931564684
2020,DK,Battery,55,Power,12.360286418377854
2020,UK,Battery,11,Power,8.722171395981649
2030,DE,H2Tank,111,H2,7.144570540350875
2030,NO,H2Tank,70,H2,5.9100332668421025
2040,FR,Battery,107,Power,164.2121893720029
2050,DE,Battery,70,Power,561.8007363356289
2040,DE,H2Tank,17,H2,65.0
2050,DK,Battery,101,Power,602.445935086034
2050,NO,H2Tank,46,H2,80.94929452424853
2020,FR,H2Tank,37,H2,24.297211249998306
2040,DE,Battery,14,Power,63.920624553319584
2040,NO,H2Tank,11,H2,28.782894736842103
2030,DE,Battery,65,Power,17.12016019123752
2020,UK,Battery,89,Power,16.1937738574856
2050,FR,H2Tank,105,H2,200.0
2050,NO,PHS,75,Power,257.58278390968877
2040,NO,H2Tank,17,H2,8.223684210526315
2040,DK,Battery,65,Power,7.06408748322541
2050,UK,H2Tank,28,H2,30.729136842062516
2040,DK,H2Tank,37,H2,14.531510651526649
2050,UK,H2Tank,112,H2,36.414433778774416
2030,NO,H2Tank,94,H2,6.45666556263158
2020,FR,H2Tank,81,H2,40.0
2020,UK,Battery,104,Power,16.169500192795965
2030,DE,Battery,54,Power,27.859225261088596
2040,FR,H2Tank,101,H2,50.0
2030,DK,Battery,93,Power,38.56199181027733
2050,DE,PHS,103,Power,533.0677592925548
2040,FR,H2Tank,62,H2,85.30701754385966
2050,FR,H2Tank,86,H2,200.0
2030,NO,H2Tank,55,H2,37.901532632525
2040,DK,H2Tank,76,H2,10.6875
2040,DE,H2Tank,40,H2,33.461247203029195
2050,DE,PHS,118,Power,583.1747663579496
2020,UK,H2Tank,100,H2,1.3826084471666684
2030,UK,Battery,54,Power,33.18835936584544
2030,DE,H2Tank,29,H2,28.787056878075
2050,DE,H2Tank,18,H2,48.66601877682984
2050,DE,PHS,113,Power,558.9911286771656
2040,FR,Battery,89,Power,126.03079563446366
2050,NO,H2Tank,28,H2,16.88609080386875
2040,DK,Battery,81,Power,44.897977264564375
2050,UK,H2Tank,99,H2,15.825676989953138
2020,FR,Battery,52,Power,5.280313217399992
2050,UK,Battery,64,Power,601.6261665135215
2020,FR,H2Tank,70,H2,7.017543859649123
